"","time","lat","long","site.name","bison","smilodon","panthera","mammuthus","mammut","equus","rodentia"
"1",-17500,36.873125,-81.767475,"Saltville",0,0,0,0,0,0,0
"2",-17500,41,-86.8666666666667,"Huppert Farm",0,0,0,0,0,0,0
"3",-17500,41.615,-93.61,"West Des Moines",0,0,0,0,0,0,0
"4",-16500,41.43139,-89.909581,"Kewanee",0,0,0,0,0,0,0
"5",-16500,41.584805,-93.632872,"Allied",0,0,0,0,0,0,0
"6",-16500,41.9502927,-95.672282,"Dunlap-Roush Pit [13CF1] [Dunlap Pit]",0,0,0,0,0,0,0
"7",-16000,40.1089,-81.3953,"JJ Charolais Ranch",0,0,0,0,0,0,0
"8",-16000,43.0267,-88.7614,"Durwood Maas Farm",0,0,0,0,0,0,0
"9",-15500,35.5333333333333,-106.8,"White Mesa Mine",47.6744186046512,0,0,0,0,0,0
"10",-15500,42.0706793,-93.6304311,"Ada Hayden Park",0,0,0,0,0,0,0
"11",-15000,39.5636,-84.63854,"Farrington",0,0,0,0,0,0,0
"12",-15000,40.186334,-85.6614279,"Reeker",0,0,0,0,0,0,0
"13",-15000,40.4543034,-87.2543811,"Shafer",0,0,0,0,0,0,0
"14",-15000,41.1483333333333,-86.3486111111111,"Overmyer",0,0,0,0,95.4954954954955,0,0
"15",-15000,42.63363,-88.05147,"Hebior",0,0,0,0,0,0,0
"16",-14500,41.3438,-86.3101,"Aker",0,0,0,0,0,0,0
"17",-14500,41.70757,-85.55972,"Hershberger",0,0,0,0,0,0,0
"18",-14500,42.64264,-87.99742,"Schaefer Mammoth",0,0,0,0,0,0,0
"19",-14500,42.907101,-81.42107,"Delaware",0,0,0,0,0,0,0
"20",-14000,40.026,-83.761,"Conway",0,0,0,0,0,0,0
"21",-14000,40.613056,-88.181389,"Hawthorne Farm",0,0,0,0,0,0,0
"22",-14000,40.732,-80.869,"Gavers",0,0,0,0,0,0,0
"23",-14000,42.5298,-81.7534,"Muirkirk [AdHq-VP]",0,0,0,0,0,0,0
"24",-14000,42.5666666666667,-81.0666666666667,"Campbell Farm [AdHg-VP]",0,0,0,0,50,0,0
"25",-14000,42.8666666666667,-85.6166666666667,"Grandville",0,0,0,0,0,0,0
"26",-14000,43.22835,-85.98783,"Moorland",0,0,0,0,0,0,0
"27",-13500,34.630066,-112.300894613252,"Fain Ranch Arroyo",11.1111111111111,0,0,74.0740740740741,74.0740740740741,11.1111111111111,0
"28",-13500,37.6941666666667,-88.1413888888889,"Shawneetown",0,0,0,0,0,0,0
"29",-13500,40.17,-83.79,"Crabtree",0,0,0,0,0,0,0
"30",-13500,40.22325,-89.38247,"Lincoln College",0,0,0,0,0,0,0
"31",-13500,40.33084,-87.65442,"Manns Chapel",0,0,0,0,0,0,0
"32",-13500,40.7453,-86.7645,"Anderson Farm",0,0,0,0,0,0,0
"33",-13500,41.0473551,-86.3663947,"Kewanna",0,0,0,0,0,0,0
