time,lat,long,samples,taxa
-21000,-41.87897,145.609294,1.416430595,sheoak
-21000,-41.87897,145.609294,11.898017,southernbeech
-21000,-41.87897,145.609294,14.73087819,celerypine
-21000,-41.03,172.86,1.587301587,southernbeech
-21000,-41.03,172.86,15.53236211,celerypine
-21000,-40.47712,148.35079,0,cypresspine
-21000,-40.47712,148.35079,1.181102362,sheoak
-21000,-40.47712,148.35079,4.330708661,eucalyptus
-21000,-40.47712,148.35079,0,southernbeech
-21000,-40.47712,148.35079,0,celerypine
-21000,-38.320172,142.356184,2.458369469,sheoak
-21000,-38.320172,142.356184,3.978675019,eucalyptus
-21000,-30.78,139.9,1.983674274,cypresspine
-21000,-30.78,139.9,3.280047195,sheoak
-21000,-30.78,139.9,4.963541127,eucalyptus
-21000,-27.68,153.41,1.963048499,cypresspine
-21000,-27.68,153.41,38.10623557,sheoak
-21000,-27.68,153.41,12.3556582,eucalyptus
-21000,-22.3,166.9694,0,southernbeech
-21000,-22.287302,166.991512,6.334933386,southernbeech
-21000,-22.287302,166.991512,2.444933834,celerypine
-21000,-17.3667,145.6881,28.97196262,sheoak
-21000,-17.3667,145.6881,33.17757009,eucalyptus
-21000,-5.969622,143.154132,40.17094017,southernbeech
-21000,-5.969622,143.154132,4.843304843,celerypine
-21000,-5.82037,145.08903,0.170940171,sheoak
-21000,-5.82037,145.08903,29.91452991,southernbeech
-21000,-5.82037,145.08903,0.189393939,sheoak
-21000,-5.82037,145.08903,40.34090909,southernbeech
-21000,-5.82037,145.08903,0.568181818,celerypine
-21000,-5.44388,143.532794,18.07228916,southernbeech
-21000,-5.44388,143.532794,1.204819277,celerypine
-21000,-5.1833,141.6333,93.15789474,southernbeech
-20500,-41.03,172.86,5.563501144,celerypine
-20500,-38.320172,142.356184,1.31412561,sheoak
-20500,-38.320172,142.356184,5.107995463,eucalyptus
-20500,-30.78,139.9,7.255807591,cypresspine
-20500,-30.78,139.9,2.304489559,sheoak
-20500,-30.78,139.9,6.233757253,eucalyptus
-20500,-27.438134,153.448984,4.502369668,cypresspine
-20500,-27.438134,153.448984,39.57345972,sheoak
-20500,-27.438134,153.448984,5.213270142,eucalyptus
-20500,-22.287302,166.991512,10.72535369,southernbeech
-20500,-22.287302,166.991512,1.369863014,celerypine
-20500,-12.5217,140.3539,8,cypresspine
-20500,-12.5217,140.3539,0.8,sheoak
-20500,-12.5217,140.3539,0,southernbeech
-20500,-5.82037,145.08903,33.16749585,southernbeech
-20500,-5.82037,145.08903,0.170940171,sheoak
-20500,-5.82037,145.08903,29.91452991,southernbeech
-20500,-5.44388,143.532794,35.26315789,southernbeech
-20000,-41.87897,145.609294,0.530503979,sheoak
-20000,-41.87897,145.609294,9.814323607,southernbeech
-20000,-41.87897,145.609294,29.70822281,celerypine
-20000,-41.03,172.86,6.995453048,celerypine
-20000,-38.320172,142.356184,1.056338028,sheoak
-20000,-38.320172,142.356184,0.352112676,eucalyptus
