,time,lat,long,site.name,samples,taxa
1,-18000,-41.660615,145.961125,Dove Lake,20.37914692,Southern Beech
2,-18000,-41.660615,145.961125,Dove Lake,6.161137441,Celery Pine
3,-18000,-41.660615,145.961125,Dove Lake,9.004739336,Eucalyptus
4,-17500,-41.660615,145.961125,Dove Lake,28.22966507,Southern Beech
5,-17500,-41.660615,145.961125,Dove Lake,0.956937799,Celery Pine
6,-17500,-41.660615,145.961125,Dove Lake,1.913875598,Eucalyptus
7,-17000,-41.660615,145.961125,Dove Lake,14.08450704,Southern Beech
8,-17000,-41.660615,145.961125,Dove Lake,4.225352113,Celery Pine
9,-17000,-41.660615,145.961125,Dove Lake,12.67605634,Eucalyptus
10,-16500,-41.660615,145.961125,Dove Lake,15.68627451,Southern Beech
11,-16500,-41.660615,145.961125,Dove Lake,6.862745098,Celery Pine
12,-16500,-41.660615,145.961125,Dove Lake,8.823529412,Eucalyptus
13,-16500,-42.10391,146.18492,Lake St Clair,1.612903226,She-Oak
14,-16500,-42.10391,146.18492,Lake St Clair,12.90322581,Eucalyptus
15,-16000,-41.660615,145.961125,Dove Lake,18.59296482,Southern Beech
16,-16000,-41.660615,145.961125,Dove Lake,11.05527638,Celery Pine
17,-16000,-41.660615,145.961125,Dove Lake,9.547738693,Eucalyptus
18,-16000,-42.10391,146.18492,Lake St Clair,0.213675214,Southern Beech
19,-16000,-42.10391,146.18492,Lake St Clair,0.213675214,Celery Pine
20,-16000,-42.10391,146.18492,Lake St Clair,0.852272727,She-Oak
21,-16000,-42.10391,146.18492,Lake St Clair,2.702505828,Eucalyptus
22,-15500,-41.660615,145.961125,Dove Lake,16.8128655,Southern Beech
23,-15500,-41.660615,145.961125,Dove Lake,3.482190324,Celery Pine
24,-15500,-41.660615,145.961125,Dove Lake,10.00797448,Eucalyptus
25,-15500,-42.10391,146.18492,Lake St Clair,1.123595506,Celery Pine
26,-15500,-42.10391,146.18492,Lake St Clair,1.685393258,She-Oak
27,-15500,-42.10391,146.18492,Lake St Clair,2.808988764,Eucalyptus
28,-15000,-41.660615,145.961125,Dove Lake,18.88888889,Southern Beech
29,-15000,-41.660615,145.961125,Dove Lake,7.037037037,Celery Pine
30,-15000,-41.660615,145.961125,Dove Lake,4.814814815,Eucalyptus
31,-15000,-42.10391,146.18492,Lake St Clair,0.198412698,Celery Pine
32,-15000,-42.10391,146.18492,Lake St Clair,0.401606426,She-Oak
33,-15000,-42.10391,146.18492,Lake St Clair,4.790590935,Eucalyptus
34,-14500,-41.660615,145.961125,Dove Lake,11.93353474,Southern Beech
35,-14500,-41.660615,145.961125,Dove Lake,5.891238671,Celery Pine
36,-14500,-41.660615,145.961125,Dove Lake,4.682779456,Eucalyptus
37,-14500,-42.10391,146.18492,Lake St Clair,0.429184549,Celery Pine
38,-14500,-42.10391,146.18492,Lake St Clair,1.716738197,She-Oak
39,-14500,-42.10391,146.18492,Lake St Clair,3.433476395,Eucalyptus
40,-14500,-41.451255,145.961595,Paddy's Lake,4.131060063,Southern Beech
41,-14500,-41.451255,145.961595,Paddy's Lake,2.222692603,Celery Pine
42,-14500,-41.451255,145.961595,Paddy's Lake,11.63131184,Eucalyptus
43,-14000,-41.660615,145.961125,Dove Lake,14.28055414,Southern Beech
44,-14000,-41.660615,145.961125,Dove Lake,4.6475721,Celery Pine
45,-14000,-41.660615,145.961125,Dove Lake,7.377188509,Eucalyptus
46,-14000,-42.10391,146.18492,Lake St Clair,0.490196078,Southern Beech
47,-14000,-42.10391,146.18492,Lake St Clair,0.653594771,Celery Pine
48,-14000,-42.10391,146.18492,Lake St Clair,0.490196078,She-Oak
49,-14000,-42.10391,146.18492,Lake St Clair,1.861213235,Eucalyptus
50,-14000,-41.451255,145.961595,Paddy's Lake,2.879449871,Southern Beech
