"","time","lat","long","site.name","samples","taxa"
"1",-21000,44.9166666666667,3.78333333333333,"Lac du Bouchet",0,"Beech"
"2",-21000,44.9166666666667,3.78333333333333,"Lac du Bouchet",0,"Alder"
"3",-21000,44.9166666666667,3.78333333333333,"Lac du Bouchet",0,"Spruce"
"4",-21000,44.9166666666667,3.78333333333333,"Lac du Bouchet",0,"Oak"
"5",-21000,40.931235,15.605185,"Lago Grande di Monticchio",0.286532951289398,"Beech"
"6",-21000,40.931235,15.605185,"Lago Grande di Monticchio",0.286532951289398,"Alder"
"7",-21000,40.931235,15.605185,"Lago Grande di Monticchio",0.573065902578797,"Spruce"
"8",-21000,40.931235,15.605185,"Lago Grande di Monticchio",2.29226361031519,"Oak"
"9",-21000,40.433889,29.533056,"Lake Iznik",0,"Beech"
"10",-21000,40.433889,29.533056,"Lake Iznik",0,"Alder"
"11",-21000,40.433889,29.533056,"Lake Iznik",0,"Spruce"
"12",-21000,40.433889,29.533056,"Lake Iznik",0.235155790711346,"Oak"
"13",-21000,36.143333,-2.621111,"MD95-2043",0,"Beech"
"14",-21000,36.143333,-2.621111,"MD95-2043",0.389936150805716,"Alder"
"15",-21000,36.143333,-2.621111,"MD95-2043",0,"Spruce"
"16",-21000,36.143333,-2.621111,"MD95-2043",0.884007297050775,"Oak"
"17",-20500,44.9166666666667,3.78333333333333,"Lac du Bouchet",0,"Beech"
"18",-20500,44.9166666666667,3.78333333333333,"Lac du Bouchet",0,"Alder"
"19",-20500,44.9166666666667,3.78333333333333,"Lac du Bouchet",0,"Spruce"
"20",-20500,44.9166666666667,3.78333333333333,"Lac du Bouchet",0.198807157057654,"Oak"
"21",-20500,44.233333,7.133333,"Laghi dell'Orgials",0,"Beech"
"22",-20500,44.233333,7.133333,"Laghi dell'Orgials",0.617283950617284,"Alder"
"23",-20500,44.233333,7.133333,"Laghi dell'Orgials",0,"Spruce"
"24",-20500,44.233333,7.133333,"Laghi dell'Orgials",0,"Oak"
"25",-20500,40.433889,29.533056,"Lake Iznik",0,"Beech"
"26",-20500,40.433889,29.533056,"Lake Iznik",0,"Alder"
"27",-20500,40.433889,29.533056,"Lake Iznik",0.0334672021419009,"Spruce"
"28",-20500,40.433889,29.533056,"Lake Iznik",0.234270414993307,"Oak"
"29",-20500,45.473333,5.416667,"Le Grand Lemps",0,"Beech"
"30",-20500,45.473333,5.416667,"Le Grand Lemps",0,"Alder"
"31",-20500,45.473333,5.416667,"Le Grand Lemps",0,"Spruce"
"32",-20500,45.473333,5.416667,"Le Grand Lemps",0,"Oak"
"33",-20500,42.1,36.616667,"MD72/5-25",0.759270084123313,"Beech"
"34",-20500,42.1,36.616667,"MD72/5-25",0,"Alder"
"35",-20500,42.1,36.616667,"MD72/5-25",0,"Spruce"
"36",-20500,42.1,36.616667,"MD72/5-25",3.89070323023356,"Oak"
"37",-20500,36.143333,-2.621111,"MD95-2043",0,"Beech"
"38",-20500,36.143333,-2.621111,"MD95-2043",0,"Alder"
"39",-20500,36.143333,-2.621111,"MD95-2043",0,"Spruce"
"40",-20500,36.143333,-2.621111,"MD95-2043",1.63934426229508,"Oak"
"41",-20000,44.9166666666667,3.78333333333333,"Lac du Bouchet",0,"Beech"
"42",-20000,44.9166666666667,3.78333333333333,"Lac du Bouchet",0.105932203389831,"Alder"
"43",-20000,44.9166666666667,3.78333333333333,"Lac du Bouchet",0.317796610169492,"Spruce"
"44",-20000,44.9166666666667,3.78333333333333,"Lac du Bouchet",0,"Oak"
"45",-20000,40.931235,15.605185,"Lago Grande di Monticchio",0.277008310249307,"Beech"
"46",-20000,40.931235,15.605185,"Lago Grande di Monticchio",0,"Alder"
"47",-20000,40.931235,15.605185,"Lago Grande di Monticchio",0,"Spruce"
"48",-20000,40.931235,15.605185,"Lago Grande di Monticchio",1.10803324099723,"Oak"
"49",-20000,40.433889,29.533056,"Lake Iznik",0,"Beech"
"50",-20000,40.433889,29.533056,"Lake Iznik",0,"Alder"
"51",-20000,40.433889,29.533056,"Lake Iznik",0.102249488752556,"Spruce"
"52",-20000,40.433889,29.533056,"Lake Iznik",0.408997955010225,"Oak"
"53",-20000,38.65626,42.972475,"Lake Van",0,"Beech"
"54",-20000,38.65626,42.972475,"Lake Van",0,"Alder"
"55",-20000,38.65626,42.972475,"Lake Van",0.235123141203644,"Spruce"
"56",-20000,38.65626,42.972475,"Lake Van",0.0884955752212389,"Oak"
"57",-20000,45.473333,5.416667,"Le Grand Lemps",0,"Beech"
"58",-20000,45.473333,5.416667,"Le Grand Lemps",0,"Alder"
"59",-20000,45.473333,5.416667,"Le Grand Lemps",0,"Spruce"
