datasetid,time,lat,long,continent,Alnus,Fagus,Picea,Pinus,Quercus,Tsuga,Ulmus,Ambrosia,Cyperaceae,Poaceae,Nothofagus,Phyllocladus,Casuarina,Eucalyptus,legendvalues
1,0,41.638535,-86.544595,Namerica,5,20,5,30,50,70,5,30,50,70,0,0,0,0,10
1,-500,41.638535,-86.544595,Namerica,7,10,10,35,45,65,10,35,45,65,0,0,0,0,50
1,-1000,41.638535,-86.544595,Namerica,9,20,15,40,40,60,15,40,40,60,0,0,0,0,100
1,-1500,41.638535,-86.544595,Namerica,11,10,20,45,35,55,20,45,35,55,0,0,0,0,10
1,-2000,41.638535,-86.544595,Namerica,13,10,25,50,30,50,25,50,30,50,0,0,0,0,50
1,-2500,41.638535,-86.544595,Namerica,15,8,30,55,25,45,30,55,25,45,0,0,0,0,100
1,-3000,41.638535,-86.544595,Namerica,17,6,35,60,20,40,35,60,20,40,0,0,0,0,10
1,-3500,41.638535,-86.544595,Namerica,19,4,40,65,15,35,40,65,15,35,0,0,0,0,50
1,-4000,41.638535,-86.544595,Namerica,21,2,45,70,10,30,45,70,10,30,0,0,0,0,100
1,-4500,41.638535,-86.544595,Namerica,23,4,50,75,5,25,50,75,5,25,0,0,0,0,10
1,-5000,41.638535,-86.544595,Namerica,25,6,55,80,10,20,55,80,10,20,0,0,0,0,50
1,-5500,41.638535,-86.544595,Namerica,27,8,60,85,15,15,60,85,15,15,0,0,0,0,100
1,-6000,41.638535,-86.544595,Namerica,29,10,65,90,20,10,65,90,20,10,0,0,0,0,10
1,-6500,41.638535,-86.544595,Namerica,31,12,70,95,25,5,70,95,25,5,0,0,0,0,50
1,-7000,41.638535,-86.544595,Namerica,33,14,75,85,30,7,75,85,30,7,0,0,0,0,100
1,-7500,41.638535,-86.544595,Namerica,35,16,80,75,35,9,80,75,35,9,0,0,0,0,10
1,-8000,41.638535,-86.544595,Namerica,37,18,85,65,40,11,85,65,40,11,0,0,0,0,50
1,-8500,41.638535,-86.544595,Namerica,39,20,90,55,45,13,90,55,45,13,0,0,0,0,100
1,-9000,41.638535,-86.544595,Namerica,41,22,95,45,50,15,95,45,50,15,0,0,0,0,10
1,-9500,41.638535,-86.544595,Namerica,43,24,90,35,55,17,90,35,55,17,0,0,0,0,50
1,-10000,41.638535,-86.544595,Namerica,45,26,85,25,60,19,85,25,60,19,0,0,0,0,100
1,-10500,41.638535,-86.544595,Namerica,47,28,80,15,65,21,80,15,65,21,0,0,0,0,10
1,-11000,41.638535,-86.544595,Namerica,49,30,75,5,70,23,75,5,70,23,0,0,0,0,50
1,-11500,41.638535,-86.544595,Namerica,51,32,70,10,75,25,70,10,75,25,0,0,0,0,100
1,-12000,41.638535,-86.544595,Namerica,53,34,65,12,80,27,65,12,80,27,0,0,0,0,10
1,-12500,41.638535,-86.544595,Namerica,55,36,60,14,85,29,60,14,85,29,0,0,0,0,50
1,-13000,41.638535,-86.544595,Namerica,57,38,55,16,80,31,55,16,80,31,0,0,0,0,100
1,-13500,41.638535,-86.544595,Namerica,59,40,50,18,70,33,50,18,70,33,0,0,0,0,10
1,-14000,41.638535,-86.544595,Namerica,61,42,45,20,60,35,45,20,60,35,0,0,0,0,50
1,-14500,41.638535,-86.544595,Namerica,63,44,40,22,57,37,40,22,57,37,0,0,0,0,100
1,-15000,41.638535,-86.544595,Namerica,65,46,35,24,54,39,35,24,54,39,0,0,0,0,10
1,-15500,41.638535,-86.544595,Namerica,67,48,30,26,51,41,30,26,51,41,0,0,0,0,50
1,-16000,41.638535,-86.544595,Namerica,69,50,25,28,48,43,25,28,48,43,0,0,0,0,100
1,-16500,41.638535,-86.544595,Namerica,71,20,20,30,45,45,20,30,45,45,0,0,0,0,10
1,-17000,41.638535,-86.544595,Namerica,73,21,15,32,42,47,15,32,42,47,0,0,0,0,50
1,-17500,41.638535,-86.544595,Namerica,75,22,10,34,39,49,10,34,39,49,0,0,0,0,100
1,-18000,41.638535,-86.544595,Namerica,77,23,5,36,36,51,5,36,36,51,0,0,0,0,10
1,-18500,41.638535,-86.544595,Namerica,79,24,7,38,33,53,7,38,33,53,0,0,0,0,50
1,-19000,41.638535,-86.544595,Namerica,81,25,9,40,30,55,9,40,30,55,0,0,0,0,100
1,-19500,41.638535,-86.544595,Namerica,83,26,11,42,27,57,11,42,27,57,0,0,0,0,10
1,-20000,41.638535,-86.544595,Namerica,85,27,13,44,24,59,13,44,24,59,0,0,0,0,50
1,-20500,41.638535,-86.544595,Namerica,87,28,15,46,21,61,15,46,21,61,0,0,0,0,100
1,-21000,41.638535,-86.544595,Namerica,89,29,17,48,18,63,17,48,18,63,0,0,0,0,10
2,0,50.034167,-56.196389,Namerica,40,30,5,30,50,70,5,30,50,70,0,0,0,0,50
2,-500,50.034167,-56.196389,Namerica,20,31,10,35,45,65,10,35,45,65,0,0,0,0,100
2,-1000,50.034167,-56.196389,Namerica,10,32,15,40,40,60,15,40,40,60,0,0,0,0,10
2,-1500,50.034167,-56.196389,Namerica,12,33,20,45,35,55,20,45,35,55,0,0,0,0,50
2,-2000,50.034167,-56.196389,Namerica,14,34,25,50,30,50,25,50,30,50,0,0,0,0,100
2,-2500,50.034167,-56.196389,Namerica,16,35,30,55,25,45,30,55,25,45,0,0,0,0,10
2,-3000,50.034167,-56.196389,Namerica,18,36,35,60,20,40,35,60,20,40,0,0,0,0,50
2,-3500,50.034167,-56.196389,Namerica,20,37,40,65,15,35,40,65,15,35,0,0,0,0,100
2,-4000,50.034167,-56.196389,Namerica,22,38,45,70,10,30,45,70,10,30,0,0,0,0,10
2,-4500,50.034167,-56.196389,Namerica,24,39,50,75,5,25,50,75,5,25,0,0,0,0,50
2,-5000,50.034167,-56.196389,Namerica,26,40,55,80,10,20,55,80,10,20,0,0,0,0,100
2,-5500,50.034167,-56.196389,Namerica,28,41,60,85,15,15,60,85,15,15,0,0,0,0,10
2,-6000,50.034167,-56.196389,Namerica,30,42,65,90,20,10,65,90,20,10,0,0,0,0,50
2,-6500,50.034167,-56.196389,Namerica,32,43,70,95,25,5,70,95,25,5,0,0,0,0,100
2,-7000,50.034167,-56.196389,Namerica,34,44,75,85,30,7,75,85,30,7,0,0,0,0,10
2,-7500,50.034167,-56.196389,Namerica,36,45,80,75,35,9,80,75,35,9,0,0,0,0,50
2,-8000,50.034167,-56.196389,Namerica,38,46,85,65,40,11,85,65,40,11,0,0,0,0,100
2,-8500,50.034167,-56.196389,Namerica,40,47,90,55,45,13,90,55,45,13,0,0,0,0,10
2,-9000,50.034167,-56.196389,Namerica,42,48,95,45,50,15,95,45,50,15,0,0,0,0,50
2,-9500,50.034167,-56.196389,Namerica,44,49,90,35,55,17,90,35,55,17,0,0,0,0,100
2,-10000,50.034167,-56.196389,Namerica,46,50,85,25,60,19,85,25,60,19,0,0,0,0,10
2,-10500,50.034167,-56.196389,Namerica,48,51,80,15,65,21,80,15,65,21,0,0,0,0,50
2,-11000,50.034167,-56.196389,Namerica,50,52,75,5,70,23,75,5,70,23,0,0,0,0,100
2,-11500,50.034167,-56.196389,Namerica,52,53,70,10,75,25,70,10,75,25,0,0,0,0,10
2,-12000,50.034167,-56.196389,Namerica,54,54,65,12,80,27,65,12,80,27,0,0,0,0,50
2,-12500,50.034167,-56.196389,Namerica,56,55,60,14,85,29,60,14,85,29,0,0,0,0,100
2,-13000,50.034167,-56.196389,Namerica,58,56,55,16,80,31,55,16,80,31,0,0,0,0,10
2,-13500,50.034167,-56.196389,Namerica,60,57,50,18,70,33,50,18,70,33,0,0,0,0,50
2,-14000,50.034167,-56.196389,Namerica,62,58,45,20,60,35,45,20,60,35,0,0,0,0,100
2,-14500,50.034167,-56.196389,Namerica,64,59,40,22,57,37,40,22,57,37,0,0,0,0,10
2,-15000,50.034167,-56.196389,Namerica,66,60,35,24,54,39,35,24,54,39,0,0,0,0,50
2,-15500,50.034167,-56.196389,Namerica,68,61,30,26,51,41,30,26,51,41,0,0,0,0,100
2,-16000,50.034167,-56.196389,Namerica,70,62,25,28,48,43,25,28,48,43,0,0,0,0,10
2,-16500,50.034167,-56.196389,Namerica,72,63,20,30,45,45,20,30,45,45,0,0,0,0,50
2,-17000,50.034167,-56.196389,Namerica,74,64,15,32,42,47,15,32,42,47,0,0,0,0,100
2,-17500,50.034167,-56.196389,Namerica,76,65,10,34,39,49,10,34,39,49,0,0,0,0,10
2,-18000,50.034167,-56.196389,Namerica,78,66,5,36,36,51,5,36,36,51,0,0,0,0,50
2,-18500,50.034167,-56.196389,Namerica,80,67,7,38,33,53,7,38,33,53,0,0,0,0,100
2,-19000,50.034167,-56.196389,Namerica,82,68,9,40,30,55,9,40,30,55,0,0,0,0,10
2,-19500,50.034167,-56.196389,Namerica,84,69,11,42,27,57,11,42,27,57,0,0,0,0,50
2,-20000,50.034167,-56.196389,Namerica,86,70,13,44,24,59,13,44,24,59,0,0,0,0,100
2,-20500,50.034167,-56.196389,Namerica,88,71,15,46,21,61,15,46,21,61,0,0,0,0,10
2,-21000,50.034167,-56.196389,Namerica,90,72,17,48,18,63,17,48,18,63,0,0,0,0,50
3,0,-35.089675,149.429255,Australia,0,0,0,0,0,0,0,0,0,0,5,30,50,70,100
3,-500,-35.089675,149.429255,Australia,0,0,0,0,0,0,0,0,0,0,10,35,45,65,10
3,-1000,-35.089675,149.429255,Australia,0,0,0,0,0,0,0,0,0,0,15,40,40,60,50
