"","time","lat","long","site.name","samples","taxa"
"1",-18000,-41.660615,145.961125,"Dove Lake",24.3589743589744,"Eucalyptus"
"2",-17500,-41.660615,145.961125,"Dove Lake",4.93827160493827,"Eucalyptus"
"3",-17000,-41.660615,145.961125,"Dove Lake",26.4705882352941,"Eucalyptus"
"4",-16500,-41.660615,145.961125,"Dove Lake",21.1764705882353,"Eucalyptus"
"5",-16500,-42.10391,146.18492,"Lake St Clair",16.6666666666667,"Eucalyptus"
"6",-16000,-41.660615,145.961125,"Dove Lake",23.1707317073171,"Eucalyptus"
"7",-16000,-42.10391,146.18492,"Lake St Clair",6.72753172753173,"Eucalyptus"
"8",-15500,-41.660615,145.961125,"Dove Lake",22.6533166458073,"Eucalyptus"
"9",-15500,-42.10391,146.18492,"Lake St Clair",5.81395348837209,"Eucalyptus"
"10",-15000,-41.660615,145.961125,"Dove Lake",21.3114754098361,"Eucalyptus"
"11",-15000,-42.10391,146.18492,"Lake St Clair",7.04162520160599,"Eucalyptus"
"12",-14500,-41.660615,145.961125,"Dove Lake",21.2328767123288,"Eucalyptus"
"13",-14500,-42.10391,146.18492,"Lake St Clair",7.76699029126214,"Eucalyptus"
"14",-14500,-41.451255,145.961595,"Paddy's Lake",14.5859654156133,"Eucalyptus"
"15",-14000,-41.660615,145.961125,"Dove Lake",20.9808329840338,"Eucalyptus"
"16",-14000,-42.10391,146.18492,"Lake St Clair",4.16206261510129,"Eucalyptus"
"17",-14000,-41.451255,145.961595,"Paddy's Lake",13.8252257649484,"Eucalyptus"
"18",-13500,-41.660615,145.961125,"Dove Lake",14.9253731343284,"Eucalyptus"
"19",-13500,-42.10391,146.18492,"Lake St Clair",7.59493670886076,"Eucalyptus"
"20",-13500,-41.451255,145.961595,"Paddy's Lake",13.0590377797268,"Eucalyptus"
"21",-13000,-41.660615,145.961125,"Dove Lake",17.5360515606153,"Eucalyptus"
"22",-13000,-42.10391,146.18492,"Lake St Clair",5.76345576345576,"Eucalyptus"
"23",-13000,-41.451255,145.961595,"Paddy's Lake",13.6269961687332,"Eucalyptus"
"24",-12500,-41.660615,145.961125,"Dove Lake",16.7557474072591,"Eucalyptus"
"25",-12500,-42.10391,146.18492,"Lake St Clair",8.92018779342723,"Eucalyptus"
"26",-12500,-41.451255,145.961595,"Paddy's Lake",15.2374865034682,"Eucalyptus"
"27",-12000,-41.660615,145.961125,"Dove Lake",16.0554572706275,"Eucalyptus"
"28",-12000,-42.10391,146.18492,"Lake St Clair",7.02668128654971,"Eucalyptus"
"29",-12000,-41.451255,145.961595,"Paddy's Lake",18.3644508589399,"Eucalyptus"
"30",-11500,-41.660615,145.961125,"Dove Lake",18.7627995859605,"Eucalyptus"
"31",-11500,-42.10391,146.18492,"Lake St Clair",16.4502164502165,"Eucalyptus"
"32",-11500,-41.451255,145.961595,"Paddy's Lake",22.0688983399791,"Eucalyptus"
"33",-11000,-41.660615,145.961125,"Dove Lake",20.7274915123536,"Eucalyptus"
"34",-11000,-42.10391,146.18492,"Lake St Clair",33.2811564845081,"Eucalyptus"
"35",-11000,-41.451255,145.961595,"Paddy's Lake",18.7578142543486,"Eucalyptus"
"36",-10500,-41.660615,145.961125,"Dove Lake",21.1497450296991,"Eucalyptus"
"37",-10500,-42.10391,146.18492,"Lake St Clair",40.5285190999477,"Eucalyptus"
"38",-10500,-41.451255,145.961595,"Paddy's Lake",19.1997147450231,"Eucalyptus"
"39",-10000,-41.660615,145.961125,"Dove Lake",24.4385408971983,"Eucalyptus"
"40",-10000,-42.10391,146.18492,"Lake St Clair",47.3684210526316,"Eucalyptus"
"41",-10000,-41.451255,145.961595,"Paddy's Lake",19.037983738791,"Eucalyptus"
"42",-9500,-41.660615,145.961125,"Dove Lake",17.5873705698252,"Eucalyptus"
"43",-9500,-42.10391,146.18492,"Lake St Clair",44.5707070707071,"Eucalyptus"
"44",-9500,-41.451255,145.961595,"Paddy's Lake",19.7753530166881,"Eucalyptus"
"45",-9000,-41.660615,145.961125,"Dove Lake",16.5841922647259,"Eucalyptus"
"46",-9000,-42.10391,146.18492,"Lake St Clair",45.360824742268,"Eucalyptus"
"47",-9000,-41.451255,145.961595,"Paddy's Lake",21.1056724144959,"Eucalyptus"
"48",-8500,-41.660615,145.961125,"Dove Lake",24.0632920712366,"Eucalyptus"
